company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة تْشب العربية للتأمين التعاوني,8240,1515.0,30.0,14.6,10.0,3.46,0.0,1480.0,Financial Services,Insurance
الشركة الخليجية العامة للتأمين التعاوني,8260,327.6,30.0,9.51,10.0,1.14,0.0,318.0,Financial Services,Insurance
الشركة الوطنية للتأمين,8300,896.8,40.0,13.98,10.0,1.6,0.0,874.0,Financial Services,Insurance
شركة أمانة للتأمين التعاوني,8310,451.5,43.0,6.84,10.0,1.53,0.0,279.0,Financial Services,Insurance - Diversified
شركة عناية السعودية للتأمين التعاوني,8311,312.8,23.0,7.42,10.0,1.83,0.0,2320.0,Financial Services,Insurance - Life
شركة رسن لتقنية المعلومات,8313,452.36,75.8,4.9,1.0,16.22,0.0,5710.0,Financial Services,
شركة الإتصالات السعودية,7010,201000.0,5000.0,15.86,10.0,2.53,3.98,197000.0,Communication Services,
شركة إتحاد إتصالات,7020,39655.0,770.0,23.24,10.0,2.22,4.56,45430.0,Communication Services,
شركة الإتصالات المتنقلة السعودية,7030,9328.82,898.73,11.62,10.0,0.89,4.82,16655.95,Communication Services,
شركة إتحاد عذيب للإتصالات,7040,3881.66,33.99,19.24,10.0,5.93,0.26,3416.37,Communication Services,Telecom Services
شركة الغاز والتصنيع الأهلية,2080,7965.0,75.0,26.01,10.0,4.08,1.98,7770.0,Energy,Oil & Gas Refining & Marketing
الشركة السعودية للكهرباء,5110,70082.04,4166.59,22.25,10.0,0.76,4.16,192490.22,Utilities,
شركة الخريف لتقنية المياه والطاقة,2081,5012.0,35.0,19.94,10.0,7.18,0.75,5467.24,Utilities,Utilities - Regulated Water
شركة أكوا باور,2082,286577.47,732.56,25.28,10.0,15.47,0.11,317000.0,Utilities,Utilities - Diversified
شركة مرافق الكهرباء والمياه بالجبيل وينبع,2083,13700.0,250.0,32.41,10.0,1.69,2.65,22080.0,Utilities,
شركة مياهنا,2084,4779.62,160.93,2.63,1.0,11.29,0.0,4780.0,Industrials,Conglomerates
الرياض ريت,4330,1633.0,172.0,,9.51,0.77,6.16,1640.0,Real Estate,
صندوق الجزيرة ريت,4331,118.0,12.0,,10.0,1.98,2.18,183.0,Real Estate,
صندوق جدوى ريت الحرمين,4332,660.0,66.0,,10.0,0.77,5.58,600.0,Real Estate,
صندوق تعليم ريت,4333,510.0,51.0,,10.0,1.02,5.89,847.0,Real Estate,
صندوق مشاركة ريت,4335,439.12,88.0,,10.0,0.57,4.05,1220.0,Real Estate,REIT - Diversified
صندوق مُلكيّة - عقارات الخليج ريت,4336,580.05,104.0,,10.0,0.72,6.56,1030.0,Real Estate,
صندوق الأهلي ريت 1,4338,983.13,138.0,,10.0,0.8,7.02,1630.0,Real Estate,REIT - Diversified
صندوق سيكو السعودية ريت,4337,230.0,57.0,,10.0,0.89,0.0,366.0,Real Estate,
صندوق جدوى ريت السعودية,4342,2070.0,186.5,,10.0,1.17,7.21,2210.0,Real Estate,
صندوق الراجحي ريت,4340,2320.0,275.61,,10.0,1.05,6.37,315000.0,Real Estate,REIT - Diversified
صندوق دراية ريت,4339,662.24,107.51,,10.0,0.75,4.84,1270.0,Real Estate,REIT - Diversified
صندوق سدكو كابيتال ريت,4344,1560.0,186.94,,10.0,1.02,6.26,2290.0,Real Estate,REIT - Diversified
صندوق بنيان ريت,4347,1500.0,162.88,,10.0,1.08,7.16,1690.0,Real Estate,REIT - Diversified
صندوق الإنماء ريت لقطاع التجزئة,4345,574.66,118.0,,10.0,0.74,6.16,621.0,Real Estate,
صندوق ميفك ريت,4346,302.63,73.0,,10.0,0.67,1.94,413.0,Real Estate,
صندوق الخبير ريت,4348,829.13,141.0,,10.0,0.78,7.14,1550.0,Real Estate,REIT - Diversified
صندوق الإنماء ريت الفندقي,4349,1020.0,102.0,,10.0,8.4,7.62,856.82,Real Estate,
صندوق الاستثمار اريك ريت المتنوع,4350,605.0,61.0,,10.0,0.79,0.0,605.0,Real Estate,
الشركة العقارية السعودية,4020,9292.5,375.0,,10.0,1.94,0.0,11530.0,Real Estate,
شركة سمو العقارية,4323,1970.0,50.0,11.66,10.0,3.38,1.9,1804.73,Real Estate,Real Estate - Development
