company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
الشركة السعودية للعدد والأدوات,4008,1125.0,36.0,8.97,10.0,3.48,0.0,1207.34,Consumer Cyclical,Specialty Retail
الشركة السعودية لخدمات السيارات والمعدات,4050,5418.0,70.0,12.03,10.0,6.43,1.39,6961.45,Consumer Cyclical,
شركة جرير للتسويق,4190,15768.0,1200.0,1.48,1.0,8.86,6.37,15457.26,Consumer Cyclical,Specialty Retail
شركة فواز عبدالعزيز الحكير وشركاه,4240,1457.96,114.8,-7.02,10.0,-1.81,0.0,3253.59,Consumer Cyclical,
شركة عبد الله سعد محمد أبو معطي للمكتبات,4191,606.0,20.0,12.05,10.0,2.51,3.3,646.57,Consumer Cyclical,
شركة باعظيم التجارية,4051,671.29,101.25,1.92,1.0,3.46,2.71,654.61,Industrials,
شركة متاجر السيف للتنمية والاستثمار,4192,2814.0,350.0,0.15,1.0,6.39,2.48,3230.0,Consumer Cyclical,
شركة أسواق عبدالله العثيم,4001,10008.0,900.0,1.15,1.0,9.63,5.39,10070.51,Consumer Defensive,
الشركة السعودية للتسويق,4006,971.1,45.0,15.14,10.0,1.43,0.0,1534.68,Consumer Cyclical,Department Stores
مجموعة أنعام الدولية القابضة,4061,793.8,630.0,0.45,50.0,2.81,0.0,937.18,Consumer Defensive,
شركة ثمار التنمية القابضة,4160,269.43,6.5,3.06,10.0,13.57,0.0,247.53,Consumer Defensive,Farm Products
شركة بن داود القابضة,4161,7783.83,1143.0,1.26,1.0,5.4,2.94,7197.31,Consumer Defensive,Grocery Stores
شركة المنجم للأغذية,4162,5856.0,60.0,17.85,10.0,5.47,3.33,5786.05,Consumer Defensive,
شركة النهدي الطبية,4164,16016.0,130.0,18.53,10.0,6.65,4.46,15268.35,Healthcare,
شركة الدواء للخدمات الطبية,4163,7097.5,85.0,16.65,10.0,5.02,2.99,7659.49,Healthcare,Pharmaceutical Retailers
مجموعة صافولا,2050,28236.1,1133.98,12.99,10.0,1.92,0.0,29468.2,Consumer Defensive,
شركة وفرة للصناعة والتنمية,2100,892.43,23.15,10.85,10.0,3.55,0.0,864.02,Consumer Defensive,
الشركة السعودية لمنتجات الألبان والأغذية,2270,11414.0,32.5,52.86,10.0,6.64,3.42,10818.85,Consumer Defensive,
شركة المراعي,2280,53600.0,1000.0,18.56,10.0,2.89,1.87,63065.61,Consumer Defensive,Packaged Foods
شركة حلواني إخوان,6001,2036.74,35.36,7.74,10.0,7.45,0.0,2263.06,Consumer Defensive,
الشركة الوطنية للتنمية الزراعية,6010,7269.52,301.64,13.0,10.0,1.85,0.0,5996.02,Consumer Defensive,
شركة القصيم القابضة للاستثمار,6020,546.6,30.0,9.72,10.0,1.87,0.0,494.97,Consumer Defensive,
شركة تبوك للتنمية الزراعية,6040,605.57,39.17,7.17,10.0,2.16,0.0,663.62,Consumer Defensive,
الشركة السعودية للأسماك,6050,925.6,40.0,1.7,10.0,13.65,0.0,934.02,Consumer Defensive,Farm Products
شركة الشرقية للتنمية,6060,579.6,30.0,12.29,10.0,1.57,0.0,393.09,Consumer Defensive,
شركة الجوف الزراعية,6070,1869.0,30.0,24.94,10.0,2.5,1.21,2109.77,Consumer Defensive,Farm Products
شركة جازان للتنمية والاستثمار,6090,668.0,50.0,8.62,10.0,1.55,0.0,699.0,Consumer Defensive,
شركة التنمية الغذائية,2281,2692.0,20.0,32.5,10.0,4.14,1.41,3043.56,Consumer Defensive,Packaged Foods
شركة نقي للمياه,2282,1208.0,20.0,13.61,10.0,4.44,2.49,1128.03,Consumer Defensive,Beverages - Non-Alcoholic
شركة المطاحن الأولى,2283,3385.5,55.5,15.8,10.0,3.86,4.56,4301.69,Consumer Defensive,
شركة سناد القابضة,4080,1703.72,126.39,8.48,10.0,1.59,0.0,2487.24,Industrials,
شركة المطاحن الحديثة للمنتجات الغذائية,2284,3342.84,81.83,2.58,1.0,15.82,2.45,3843.0,Consumer Defensive,Packaged Foods
شركة المطاحن العربية للمنتجات الغذائية,2285,2730.22,51.32,18.69,10.0,2.85,0.0,3611.61,Consumer Defensive,
شركة المطاحن الرابعة,2286,2532.6,540.0,1.35,1.0,3.47,0.0,2320.96,Consumer Defensive,
شركة المواساة للخدمات الطبية,4002,17700.0,200.0,,10.0,5.81,1.98,18120.0,Healthcare,
شركة دله للخدمات الصحية,4004,14905.97,97.68,34.96,10.0,4.37,1.31,16825.57,Healthcare,Medical Care Facilities
